Airline,Source,Destination,Total_Stops,Price,Price_USD,Duration_min,Journey_day,Journey_month,Dep_hour,Dep_min,Arr_hour,Arr_min
Air India,Delhi,Cochin,2,13748,164.976,800,6,3,5,55,19,15
Air India,Kolkata,Banglore,0,4880,58.56,155,21,4,20,45,23,20
IndiGo,Chennai,Kolkata,0,3540,42.480000000000004,145,21,6,5,15,7,40
SpiceJet,Banglore,Delhi,0,3257,39.084,160,15,5,5,55,8,35
Jet Airways,Banglore,Delhi,0,6478,77.736,180,3,6,19,50,22,50
Jet Airways,Mumbai,Hyderabad,0,8040,96.48,85,18,6,7,5,8,30
Jet Airways,Delhi,Cochin,2,14300,171.6,995,12,6,20,0,12,35
Jet Airways,Kolkata,Banglore,1,14781,177.372,740,15,5,8,25,20,45
Jet Airways,Kolkata,Banglore,1,14939,179.268,735,9,6,20,0,8,15
Jet Airways,Delhi,Cochin,1,10262,123.144,450,24,6,20,55,4,25
Air India,Kolkata,Banglore,1,6528,78.336,1440,12,5,14,35,14,35
Air India,Banglore,Delhi,0,6121,73.452,165,1,5,6,10,8,55
Jet Airways,Delhi,Cochin,2,13029,156.348,535,18,5,19,30,4,25
Multiple carriers,Delhi,Cochin,1,11421,137.052,430,27,3,11,40,18,50
Multiple carriers,Delhi,Cochin,1,7574,90.888,870,27,3,4,45,19,15
Air India,Delhi,Cochin,2,11596,139.15200000000002,1820,9,5,12,55,19,15
Jet Airways,Delhi,Cochin,2,15129,181.548,1195,24,5,23,5,19,0
Jet Airways,Banglore,New Delhi,1,13555,162.66,900,18,3,14,5,5,5
IndiGo,Banglore,Delhi,0,5780,69.36,175,12,4,18,55,21,50
Vistara,Kolkata,Banglore,1,9397,112.764,765,12,5,20,20,9,5
Jet Airways,Delhi,Cochin,1,17024,204.288,610,6,3,18,15,4,25
GoAir,Delhi,Cochin,1,5281,63.372,355,27,6,7,0,12,55
Multiple carriers,Delhi,Cochin,1,10348,124.176,925,18,5,7,5,22,30
Air India,Delhi,Cochin,1,12677,152.124,965,6,3,17,20,9,25
Multiple carriers,Delhi,Cochin,1,15147,181.764,610,3,3,15,25,1,35
Vistara,Banglore,Delhi,0,4668,56.016,160,12,6,7,0,9,40
Jet Airways,Delhi,Cochin,1,15554,186.648,715,9,5,7,5,19,0
SpiceJet,Banglore,Delhi,0,3971,47.652,160,9,4,5,55,8,35
Air India,Mumbai,Hyderabad,0,3100,37.2,85,3,5,15,0,16,25
Jet Airways,Kolkata,Banglore,1,9663,115.956,845,6,5,20,0,10,5
Air India,Delhi,Cochin,1,27430,329.16,1215,1,3,23,0,19,15
IndiGo,Chennai,Kolkata,0,3540,42.480000000000004,145,12,5,5,15,7,40
Air India,Kolkata,Banglore,2,10676,128.112,1390,21,5,12,0,11,10
Jet Airways,Kolkata,Banglore,1,13044,156.528,1090,12,6,14,5,8,15
Jet Airways,Kolkata,Banglore,1,14388,172.656,960,6,5,20,0,12,0
IndiGo,Banglore,Delhi,0,3943,47.316,170,24,6,4,0,6,50
IndiGo,Chennai,Kolkata,0,3597,43.164,140,3,6,14,45,17,5
Air India,Banglore,New Delhi,1,5932,71.184,480,21,3,11,50,19,50
Jet Airways,Delhi,Cochin,1,10262,123.144,1015,15,6,11,30,4,25
Vistara,Delhi,Cochin,0,6216,74.592,190,12,5,14,40,17,50
IndiGo,Kolkata,Banglore,0,4804,57.648,165,15,6,20,25,23,10
Multiple carriers,Delhi,Cochin,1,14067,168.804,840,21,5,11,30,1,30
Jet Airways,Delhi,Cochin,2,15129,181.548,1430,18,5,19,10,19,0
Jet Airways,Delhi,Cochin,2,13376,160.512,1300,6,6,6,45,4,25
Air India,Delhi,Cochin,2,10441,125.292,1275,27,6,22,0,19,15
Jet Airways,Banglore,Delhi,0,4030,48.36,165,24,5,6,0,8,45
Jet Airways,Delhi,Cochin,1,17024,204.288,650,3,3,8,0,18,50
Multiple carriers,Delhi,Cochin,1,13017,156.204,480,9,4,17,30,1,30
GoAir,Kolkata,Banglore,1,6686,80.232,495,6,6,23,30,7,45
IndiGo,Delhi,Cochin,1,5636,67.632,325,15,6,2,0,7,25
IndiGo,Delhi,Cochin,1,6442,77.304,515,9,6,7,35,16,10
Multiple carriers,Delhi,Cochin,1,9486,113.83200000000001,710,21,5,13,5,0,55
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1655,21,5,20,0,23,35
Jet Airways,Delhi,Cochin,2,15318,183.816,505,3,6,20,0,4,25
Air India,Delhi,Cochin,1,5117,61.404,1255,3,4,12,30,9,25
IndiGo,Delhi,Cochin,1,6147,73.764,290,24,6,15,10,20,0
Multiple carriers,Delhi,Cochin,1,7005,84.06,490,9,6,12,50,21,0
SpiceJet,Kolkata,Banglore,0,3873,46.476,140,3,4,22,20,0,40
Jet Airways,Delhi,Cochin,2,9270,111.24000000000001,1465,21,3,18,25,18,50
GoAir,Banglore,Delhi,0,3898,46.776,170,27,6,11,40,14,30
Jet Airways,Kolkata,Banglore,1,14781,177.372,740,12,5,8,25,20,45
Jet Airways,Kolkata,Banglore,1,8586,103.032,735,24,5,20,0,8,15
Air India,Kolkata,Banglore,2,10697,128.364,1415,9,5,8,20,7,55
Jet Airways,Delhi,Cochin,2,14300,171.6,995,27,6,20,0,12,35
IndiGo,Banglore,New Delhi,0,8855,106.26,170,3,3,18,55,21,45
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1545,12,5,16,30,18,15
Jet Airways,Delhi,Cochin,1,17024,204.288,1570,6,3,2,15,4,25
Jet Airways,Kolkata,Banglore,1,9314,111.768,1730,1,5,9,35,14,25
IndiGo,Banglore,New Delhi,0,4777,57.324,165,24,3,0,40,3,25
Air India,Kolkata,Banglore,1,7662,91.944,1515,9,6,12,0,13,15
IndiGo,Delhi,Cochin,1,6442,77.304,560,9,5,6,50,16,10
SpiceJet,Delhi,Cochin,1,5264,63.168,270,12,6,8,45,13,15
Jet Airways,Delhi,Cochin,1,12898,154.776,925,27,5,13,0,4,25
Air India,Mumbai,Hyderabad,0,6092,73.104,90,3,3,13,55,15,25
SpiceJet,Banglore,Delhi,0,3311,39.732,160,21,5,5,55,8,35
Jet Airways,Delhi,Cochin,1,6540,78.48,550,27,3,19,15,4,25
IndiGo,Banglore,Delhi,0,3419,41.028,165,27,5,1,30,4,15
Jet Airways,Delhi,Cochin,1,5177,62.124,1355,3,4,14,0,12,35
Air India,Delhi,Cochin,0,8246,98.952,185,18,4,18,5,21,10
Jet Airways,Kolkata,Banglore,1,14676,176.112,690,9,6,9,35,21,5
Multiple carriers,Delhi,Cochin,1,13587,163.044,570,27,6,11,30,21,0
Jet Airways,Kolkata,Banglore,1,9663,115.956,730,6,5,21,10,9,20
Jet Airways,Kolkata,Banglore,1,13044,156.528,1055,12,6,16,30,10,5
IndiGo,Delhi,Cochin,1,5073,60.876000000000005,305,3,4,20,25,1,30
Vistara,Kolkata,Banglore,1,9345,112.14,1550,21,5,17,0,18,50
Jet Airways,Kolkata,Banglore,1,9663,115.956,1200,6,5,14,5,10,5
Multiple carriers,Delhi,Cochin,1,14277,171.324,780,21,5,8,0,21,0
Jet Airways,Delhi,Cochin,1,10262,123.144,1105,1,6,10,0,4,25
Jet Airways,Mumbai,Hyderabad,0,5678,68.136,90,27,3,19,35,21,5
Multiple carriers,Delhi,Cochin,1,13727,164.724,570,15,5,16,0,1,30
Jet Airways,Kolkata,Banglore,1,9663,115.956,960,6,5,20,0,12,0
IndiGo,Chennai,Kolkata,0,3858,46.296,140,12,5,14,45,17,5
SpiceJet,Delhi,Cochin,1,4812,57.744,270,24,6,8,45,13,15
IndiGo,Delhi,Cochin,1,5775,69.3,345,27,6,21,50,3,35
Jet Airways,Kolkata,Banglore,1,10539,126.468,1450,6,6,9,35,9,45
IndiGo,Kolkata,Banglore,0,4804,57.648,155,3,6,15,30,18,5
Air Asia,Banglore,Delhi,0,3383,40.596000000000004,165,12,6,11,10,13,55
IndiGo,Banglore,New Delhi,1,8738,104.85600000000001,295,3,3,12,10,17,5
Air India,Delhi,Cochin,1,7165,85.98,1535,27,3,5,15,6,50
IndiGo,Delhi,Cochin,1,6412,76.944,380,24,6,16,10,22,30
Jet Airways,Banglore,Delhi,0,8016,96.19200000000001,185,27,6,18,55,22,0
Jet Airways,Banglore,New Delhi,1,11087,133.044,1120,12,3,20,35,15,15
SpiceJet,Chennai,Kolkata,0,3543,42.516,135,27,6,9,45,12,0
Jet Airways,Kolkata,Banglore,1,12471,149.65200000000002,730,12,6,16,30,4,40
Jet Airways,Delhi,Cochin,1,10262,123.144,1165,24,6,9,0,4,25
Air India,Banglore,New Delhi,0,4441,53.292,170,18,3,13,20,16,10
Multiple carriers,Delhi,Cochin,1,12537,150.44400000000002,505,27,3,7,5,15,30
GoAir,Kolkata,Banglore,1,10091,121.092,555,24,3,22,25,7,40
Air India,Banglore,Delhi,0,6961,83.532,170,3,6,21,5,23,55
IndiGo,Delhi,Cochin,0,5013,60.156,195,24,4,5,35,8,50
Air India,Delhi,Cochin,0,6934,83.208,170,18,5,5,10,8,0
Multiple carriers,Delhi,Cochin,1,10877,130.524,740,3,6,6,40,19,0
Jet Airways,Banglore,Delhi,0,7229,86.748,175,18,4,15,15,18,10
IndiGo,Delhi,Cochin,1,7048,84.57600000000001,575,27,3,16,0,1,35
Vistara,Banglore,Delhi,0,4878,58.536,155,27,6,17,0,19,35
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,570,21,5,14,5,23,35
Jet Airways,Delhi,Cochin,2,15129,181.548,1760,18,5,23,5,4,25
IndiGo,Banglore,Delhi,0,3943,47.316,175,12,5,0,30,3,25
SpiceJet,Delhi,Cochin,1,5583,66.996,315,6,6,6,5,11,20
Multiple carriers,Delhi,Cochin,1,9646,115.752,545,6,6,7,5,16,10
Multiple carriers,Delhi,Cochin,1,7677,92.124,645,3,6,8,30,19,15
IndiGo,Delhi,Cochin,1,6842,82.104,295,1,6,5,10,10,5
Jet Airways,Mumbai,Hyderabad,0,4995,59.94,90,24,6,8,45,10,15
Vistara,Kolkata,Banglore,1,9555,114.66,700,9,6,7,10,18,50
IndiGo,Banglore,Delhi,0,4077,48.924,165,1,6,1,30,4,15
Jet Airways,Banglore,Delhi,0,7229,86.748,175,12,5,15,15,18,10
Multiple carriers,Delhi,Cochin,1,12192,146.304,600,9,6,9,0,19,0
Air India,Banglore,Delhi,0,5911,70.932,165,12,4,10,0,12,45
Air India,Delhi,Cochin,1,8372,100.464,615,12,6,9,0,19,15
Jet Airways,Mumbai,Hyderabad,0,4995,59.94,85,18,3,7,10,8,35
Multiple carriers,Delhi,Cochin,1,14323,171.876,555,9,5,10,0,19,15
Jet Airways,Delhi,Cochin,2,13014,156.168,1375,9,6,5,30,4,25
Air India,Delhi,Cochin,2,13591,163.092,1730,6,6,14,25,19,15
Jet Airways,Delhi,Cochin,2,18799,225.588,2245,3,3,5,25,18,50
IndiGo,Banglore,Delhi,0,3943,47.316,170,27,4,23,30,2,20
SpiceJet,Mumbai,Hyderabad,0,1965,23.580000000000002,90,21,5,5,45,7,15
Jet Airways,Mumbai,Hyderabad,0,4995,59.94,90,27,5,10,20,11,50
Air India,Kolkata,Banglore,1,14641,175.692,1540,24,3,16,50,18,30
Air India,Kolkata,Banglore,0,4460,53.52,155,12,4,20,45,23,20
Air India,Delhi,Cochin,1,10191,122.292,375,18,5,13,0,19,15
Jet Airways,Delhi,Cochin,1,13843,166.116,1050,9,3,2,15,19,45
IndiGo,Delhi,Cochin,1,6349,76.188,345,1,5,21,50,3,35
Air Asia,Kolkata,Banglore,0,4409,52.908,155,1,5,10,20,12,55
Jet Airways,Delhi,Cochin,1,17024,204.288,1530,6,3,18,15,19,45
Multiple carriers,Delhi,Cochin,1,13727,164.724,835,18,5,7,5,21,0
IndiGo,Banglore,New Delhi,0,8855,106.26,175,15,3,18,25,21,20
Multiple carriers,Delhi,Cochin,1,12524,150.288,615,24,6,8,45,19,0
Jet Airways,Banglore,New Delhi,1,13555,162.66,520,18,3,11,40,20,20
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,330,6,6,6,30,12,0
Multiple carriers,Delhi,Cochin,1,13587,163.044,720,9,6,9,0,21,0
SpiceJet,Chennai,Kolkata,0,3543,42.516,135,12,6,9,45,12,0
Vistara,Chennai,Kolkata,0,4842,58.104,135,18,3,7,5,9,20
IndiGo,Banglore,Delhi,0,3943,47.316,170,24,4,23,30,2,20
Jet Airways,Delhi,Cochin,1,10577,126.924,550,9,6,19,15,4,25
IndiGo,Delhi,Cochin,1,6979,83.748,625,15,5,10,35,21,0
Vistara,Chennai,Kolkata,0,11982,143.784,140,27,6,17,45,20,5
SpiceJet,Delhi,Cochin,1,5264,63.168,270,6,6,8,45,13,15
Vistara,Delhi,Cochin,0,8001,96.012,190,3,3,6,0,9,10
Air India,Delhi,Cochin,2,10651,127.812,1410,1,6,19,45,19,15
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1640,24,5,16,30,19,50
Multiple carriers,Delhi,Cochin,1,6601,79.212,755,27,3,9,45,22,20
Air India,Delhi,Cochin,1,6587,79.044,1455,21,3,19,0,19,15
SpiceJet,Mumbai,Hyderabad,0,3173,38.076,80,21,3,13,10,14,30
Air India,Banglore,Delhi,0,5228,62.736000000000004,165,9,5,10,0,12,45
Jet Airways,Banglore,Delhi,0,5769,69.228,180,21,6,7,10,10,10
Jet Airways,Delhi,Cochin,1,14714,176.568,660,6,6,8,0,19,0
Jet Airways,Delhi,Cochin,2,13014,156.168,810,3,6,5,30,19,0
IndiGo,Banglore,Delhi,0,3359,40.308,170,3,6,22,10,1,0
GoAir,Banglore,New Delhi,0,6722,80.664,175,3,3,20,55,23,50
IndiGo,Kolkata,Banglore,0,4462,53.544000000000004,165,18,3,9,35,12,20
IndiGo,Delhi,Cochin,1,6171,74.052,675,9,3,4,55,16,10
Air India,Kolkata,Banglore,2,12303,147.636,875,21,5,5,50,20,25
Multiple carriers,Delhi,Cochin,1,7695,92.34,835,21,3,11,40,1,35
IndiGo,Delhi,Cochin,1,5684,68.208,845,24,6,11,25,1,30
Air India,Kolkata,Banglore,1,8366,100.392,905,12,6,16,50,7,55
Air India,Chennai,Kolkata,0,19630,235.56,135,1,3,11,40,13,55
Jet Airways,Banglore,New Delhi,1,13502,162.024,900,6,3,14,5,5,5
Jet Airways,Kolkata,Banglore,1,14781,177.372,775,1,5,21,10,10,5
Multiple carriers,Delhi,Cochin,1,6513,78.156,540,12,6,7,10,16,10
Air India,Delhi,Cochin,1,9929,119.148,735,1,6,7,0,19,15
Multiple carriers,Delhi,Cochin,2,18275,219.3,460,6,6,17,50,1,30
Air India,Delhi,Cochin,1,4487,53.844,1640,9,4,6,5,9,25
IndiGo,Mumbai,Hyderabad,0,2754,33.048,85,15,3,21,20,22,45
Air India,Mumbai,Hyderabad,0,2575,30.900000000000002,80,27,3,6,20,7,40
SpiceJet,Kolkata,Banglore,1,8224,98.688,330,12,6,15,55,21,25
Air India,Delhi,Cochin,1,8991,107.892,705,9,3,20,30,8,15
IndiGo,Delhi,Cochin,0,5000,60.0,195,24,6,5,35,8,50
Jet Airways,Kolkata,Banglore,1,8529,102.348,1495,12,6,18,55,19,50
Air India,Delhi,Cochin,1,14042,168.504,1640,3,3,6,5,9,25
Jet Airways,Banglore,Delhi,0,4030,48.36,175,24,5,11,10,14,5
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1025,6,6,18,55,12,0
IndiGo,Kolkata,Banglore,0,4804,57.648,160,6,5,21,25,0,5
Multiple carriers,Delhi,Cochin,1,7308,87.696,480,27,5,17,30,1,30
IndiGo,Banglore,Delhi,0,4823,57.876,180,12,5,16,55,19,55
Jet Airways,Delhi,Cochin,1,10262,123.144,1655,24,6,9,0,12,35
Jet Airways,Delhi,Cochin,1,12898,154.776,450,27,5,20,55,4,25
Air India,Banglore,New Delhi,2,12778,153.336,1375,12,3,17,25,16,20
IndiGo,Delhi,Cochin,1,14871,178.452,515,3,3,4,45,13,20
Air India,Delhi,Cochin,2,8708,104.496,1795,21,3,13,20,19,15
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1335,6,6,20,0,18,15
SpiceJet,Mumbai,Hyderabad,0,4129,49.548,80,6,3,5,45,7,5
IndiGo,Kolkata,Banglore,0,4804,57.648,160,18,5,21,25,0,5
Jet Airways,Banglore,Delhi,0,7229,86.748,180,6,5,8,20,11,20
Jet Airways,Banglore,New Delhi,1,7832,93.98400000000001,730,21,3,7,0,19,10
SpiceJet,Chennai,Kolkata,0,3859,46.308,155,18,3,9,30,12,5
Multiple carriers,Delhi,Cochin,1,9001,108.012,705,6,6,7,30,19,15
Vistara,Banglore,Delhi,0,4878,58.536,155,9,5,17,0,19,35
IndiGo,Mumbai,Hyderabad,0,2754,33.048,90,3,5,2,35,4,5
Vistara,Banglore,Delhi,0,4668,56.016,160,27,6,7,0,9,40
Air Asia,Kolkata,Banglore,0,5216,62.592,155,12,5,10,20,12,55
Jet Airways,Delhi,Cochin,2,10368,124.416,1375,6,6,5,30,4,25
IndiGo,Delhi,Cochin,2,8146,97.752,880,9,3,6,40,21,20
Jet Airways,Delhi,Cochin,1,12242,146.904,925,27,3,13,0,4,25
Jet Airways,Banglore,New Delhi,1,9134,109.608,435,15,3,8,0,15,15
Air India,Delhi,Cochin,2,10939,131.268,1210,6,6,13,15,9,25
Air India,Delhi,Cochin,2,11753,141.036,1245,6,6,10,55,7,40
SpiceJet,Kolkata,Banglore,0,4174,50.088,150,24,4,17,10,19,40
Jet Airways,Kolkata,Banglore,1,10844,130.12800000000001,1430,21,5,20,0,19,50
Jet Airways,Delhi,Cochin,1,14714,176.568,1620,3,6,16,0,19,0
Jet Airways,Kolkata,Banglore,1,9899,118.788,330,12,6,6,30,12,0
IndiGo,Delhi,Cochin,1,14871,178.452,710,3,3,9,10,21,0
IndiGo,Chennai,Kolkata,0,7295,87.54,135,6,3,13,20,15,35
Air India,Delhi,Cochin,2,13465,161.58,1470,6,6,18,45,19,15
SpiceJet,Chennai,Kolkata,0,3543,42.516,140,21,5,17,45,20,5
Multiple carriers,Delhi,Cochin,1,7198,86.376,390,27,6,19,0,1,30
Jet Airways,Delhi,Cochin,1,10262,123.144,1225,1,6,8,0,4,25
IndiGo,Kolkata,Banglore,0,4148,49.776,155,15,3,15,20,17,55
Jet Airways,Banglore,Delhi,0,8016,96.19200000000001,175,27,6,15,15,18,10
Jet Airways,Delhi,Cochin,1,10262,123.144,335,9,6,22,50,4,25
SpiceJet,Kolkata,Banglore,0,3841,46.092,150,15,6,14,55,17,25
Jet Airways,Banglore,New Delhi,1,11507,138.084,885,12,3,9,45,0,30
Jet Airways,Kolkata,Banglore,1,14781,177.372,740,1,5,8,25,20,45
Jet Airways,Delhi,Cochin,1,16079,192.948,1530,27,5,17,30,19,0
Jet Airways,Delhi,Cochin,1,12898,154.776,335,27,5,22,50,4,25
Multiple carriers,Delhi,Cochin,1,15353,184.236,705,6,3,7,30,19,15
IndiGo,Banglore,New Delhi,0,7303,87.636,175,24,3,18,25,21,20
SpiceJet,Kolkata,Banglore,1,6197,74.364,340,24,3,15,5,20,45
Air India,Kolkata,Banglore,1,8996,107.952,245,9,6,9,10,13,15
IndiGo,Delhi,Cochin,1,6528,78.336,480,21,3,14,20,22,20
GoAir,Banglore,Delhi,0,4239,50.868,165,9,4,20,55,23,40
IndiGo,Kolkata,Banglore,0,4148,49.776,160,12,3,20,25,23,5
SpiceJet,Banglore,Delhi,0,3971,47.652,175,24,5,21,10,0,5
Air Asia,Kolkata,Banglore,1,5192,62.304,955,6,5,7,35,23,30
Jet Airways,Delhi,Cochin,2,9483,113.796,1390,9,4,13,25,12,35
Jet Airways,Delhi,Cochin,2,18804,225.648,440,3,6,11,40,19,0
Air India,Delhi,Cochin,0,5201,62.412,170,18,6,5,10,8,0
Jet Airways,Delhi,Cochin,1,16079,192.948,450,27,5,11,30,19,0
Jet Airways,Banglore,Delhi,0,7229,86.748,180,15,6,19,50,22,50
Multiple carriers,Delhi,Cochin,1,6795,81.54,465,27,5,17,45,1,30
Jet Airways,Kolkata,Banglore,1,10953,131.436,1520,9,5,9,35,10,55
